Suburb,Postcode,Population,Age,Suburb_name_geojson,Unit_buy/M,Unit_rent,House_rent,House_buy/M
macquarie-park,2113,8153,20 to 39,MACQUARIE PARK,0.72775,500.0,,
maianbar,2230,498,40 to 59,MAIANBAR,,,588.0,1.0070356171766492
malabar,2036,5423,40 to 59,MALABAR,,513.0,1225.0,1.9
manly-vale,2093,6166,20 to 39,MANLY VALE,0.75,550.0,940.0,1.8225
manly,2095,15854,20 to 39,MANLY,1.3,750.0,1400.0,2.875
maraylya,2765,1240,40 to 59,MARAYLYA,,,,
marayong,2148,7727,20 to 39,MARAYONG,,350.0,400.0,0.625
maroota,2756,634,40 to 59,MAROOTA,,,,
maroubra,2035,30681,20 to 39,MAROUBRA,0.82,600.0,900.0,1.801
marrickville,2204,26607,20 to 39,MARRICKVILLE,0.6775,490.0,750.0,1.32
marsden-park,2765,1009,60+,MARSDEN PARK,,470.0,550.0,0.775
marsfield,2122,13293,20 to 39,MARSFIELD,0.7415,490.0,690.0,1.43
mascot,2020,14759,20 to 39,MASCOT,0.8465,700.0,725.0,1.25
matraville,2036,9812,40 to 59,MATRAVILLE,0.8125,530.0,985.0,1.581
mays-hill,2145,762,20 to 39,MAYS HILL,,460.0,500.0,0.6075
mcgraths-hill,2756,2550,40 to 59,MCGRATHS HILL,,,480.0,0.71
mcmahons-point,2060,2283,20 to 39,MCMAHONS POINT,1.4175,595.0,1000.0,2.30996185483446
meadowbank,2114,4406,20 to 39,MEADOWBANK,0.598,495.0,375.0,0.3334354020768587
mellong,2756,0,60+,MELLONG,,,,
melrose-park,2114,1576,40 to 59,MELROSE PARK,,,600.0,1.0449849250695953
menai,2234,10321,40 to 59,MENAI,0.735,540.0,708.0,0.9725
menangle-park,2563,258,20 to 39,MENANGLE PARK,,,,
merrylands-west,2160,6596,20 to 39,MERRYLANDS WEST,0.4385,400.0,580.0,0.727503
merrylands,2160,29660,20 to 39,MERRYLANDS,0.42,400.0,510.0,0.82
middle-cove,2068,1327,40 to 59,MIDDLE COVE,,,1100.0,1.809
middle-dural,2158,1011,60+,MIDDLE DURAL,,,,
middleton-grange,2171,5181,20 to 39,MIDDLETON GRANGE,,,550.0,0.77
miller,2168,3230,40 to 59,MILLER,,313.0,400.0,0.56
millers-point,2000,1494,40 to 59,MILLERS POINT,2.1,850.0,1175.0,2.8633892616065886
milperra,2214,3938,40 to 59,MILPERRA,,,570.0,0.8375
milsons-passage,2083,16,60+,MILSONS PASSAGE,,,,
milsons-point,2061,2166,20 to 39,MILSONS POINT,1.175,760.0,,
minchinbury,2770,5626,20 to 39,MINCHINBURY,,440.0,470.0,0.67
minto-heights,2566,365,60+,MINTO HEIGHTS,,,,
minto,2566,12560,20 to 39,MINTO,0.365,330.0,420.0,0.5875
miranda,2228,15269,20 to 39,MIRANDA,0.6355,470.0,700.0,1.0825
mogo-creek,2775,0,60+,MOGO CREEK,,,,
mona-vale,2103,10668,60+,MONA VALE,1.195,623.0,895.0,1.715
monterey,2217,4539,40 to 59,MONTEREY,0.74,460.0,650.0,1.33
moore-park,2021,18,20 to 39,MOORE PARK,,,,
moorebank,2170,9739,20 to 39,MOOREBANK,0.495,445.0,560.0,0.868
morning-bay,2105,39,60+,MORNING BAY,,,,
mortdale,2223,10415,20 to 39,MORTDALE,0.58,420.0,580.0,1.05
mortlake,2137,1043,20 to 39,MORTLAKE,0.8775,575.0,695.0,1.3454169458887508
mosman,2088,28470,40 to 59,MOSMAN,1.0025,550.0,1500.0,3.6
mount-annan,2567,11696,40 to 59,MOUNT ANNAN,,340.0,460.0,0.7175
mount-colah,2079,7093,40 to 59,MOUNT COLAH,,435.0,590.0,0.935
mount-druitt,2770,16730,20 to 39,MOUNT DRUITT,0.36,330.0,395.0,0.635
mount-kuring-gai,2080,1709,40 to 59,MOUNT KURING-GAI,,,554.15412829812,0.9
mount-lewis,2190,1194,20 to 39,MOUNT LEWIS,,,550.0,0.886862808848987
mount-pritchard,2170,9960,20 to 39,MOUNT PRITCHARD,,360.0,420.0,0.61
